num_robots,boxes,use_hm,fake_hm,counter,carry_counter
9,{'pink': 6},fake_hm,True,2332,"[0, 263, 170, 0, 0, 0, 0, 1147, 0]"
9,{'pink': 7},fake_hm,True,646,"[377, 0, 0, 0, 296, 0, 0, 391, 307]"
9,{'pink': 8},fake_hm,True,1908,"[0, 0, 0, 292, 341, 626, 326, 0, 967]"
9,{'pink': 9},fake_hm,True,1590,"[365, 1466, 0, 0, 1553, 0, 0, 400, 0]"
9,{'pink': 10},fake_hm,True,886,"[0, 0, 375, 423, 0, 90, 0, 0, 169]"
10,{'pink': 4},fake_hm,True,3619,"[964, 201, 0, 286, 0, 0, 0, 307, 0, 0]"
10,{'pink': 5},fake_hm,True,2700,"[614, 0, 0, 0, 292, 0, 0, 127, 362, 0]"
10,{'pink': 6},fake_hm,True,2076,"[0, 0, 0, 2025, 406, 0, 2025, 0, 303, 1861]"
10,{'pink': 7},fake_hm,True,414,"[0, 0, 110, 136, 85, 317, 0, 0, 136, 0]"
10,{'pink': 8},fake_hm,True,1306,"[917, 190, 0, 719, 398, 0, 0, 1004, 353, 0]"
10,{'pink': 9},fake_hm,True,1125,"[413, 376, 555, 0, 0, 163, 0, 487, 0, 628]"
10,{'pink': 10},fake_hm,True,855,"[0, 345, 0, 0, 711, 352, 0, 237, 0, 341]"
11,{'pink': 4},fake_hm,True,1307,"[302, 228, 0, 398, 308, 0, 0, 0, 0, 0, 0]"
11,{'pink': 5},fake_hm,True,1548,"[768, 0, 572, 867, 0, 0, 0, 1117, 387, 0, 0]"
11,{'pink': 6},fake_hm,True,1110,"[0, 0, 0, 437, 272, 191, 0, 0, 274, 0, 0]"
11,{'pink': 7},fake_hm,True,797,"[383, 258, 0, 0, 0, 0, 309, 551, 0, 0, 0]"
11,{'pink': 8},fake_hm,True,1062,"[0, 838, 0, 0, 0, 0, 388, 0, 322, 1011, 0]"
11,{'pink': 9},fake_hm,True,765,"[383, 558, 0, 309, 208, 0, 0, 648, 0, 292, 0]"
11,{'pink': 10},fake_hm,True,1240,"[92, 0, 0, 0, 409, 999, 85, 1203, 945, 740, 1094]"
12,{'pink': 4},fake_hm,True,5725,"[376, 1059, 0, 0, 0, 0, 0, 0, 0, 191, 0, 0]"
12,{'pink': 5},fake_hm,True,3335,"[0, 0, 0, 936, 282, 0, 0, 0, 0, 244, 0, 768]"
12,{'pink': 6},fake_hm,True,1066,"[0, 0, 0, 486, 450, 0, 950, 0, 264, 161, 0, 328]"
12,{'pink': 7},fake_hm,True,956,"[0, 0, 0, 537, 316, 326, 814, 0, 0, 258, 427, 0]"
12,{'pink': 8},fake_hm,True,637,"[162, 126, 0, 282, 0, 203, 159, 0, 0, 0, 0, 0]"
12,{'pink': 9},fake_hm,True,667,"[0, 0, 307, 0, 0, 273, 192, 0, 0, 346, 40, 0]"
12,{'pink': 10},fake_hm,True,1010,"[0, 0, 973, 305, 336, 0, 385, 973, 329, 0, 0, 0]"
13,{'pink': 4},fake_hm,True,2622,"[0, 0, 0, 0, 0, 291, 0, 168, 721, 0, 647, 0, 0]"
